bus,bus_1,bus_2,bus_3,bus_4,bus_5,bus_6,bus_7,bus_8,bus_9,bus_10,bus_11,bus_12,bus_13,bus_14
1,6.025029,-4.9991317,0.0,0.0,-1.0258975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-4.9991317,9.738324,-1.1350192,-1.6860331,-1.7011397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,-1.1350192,4.062995,-1.9859757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,-1.6860331,-1.9859757,10.990989,-6.8409805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-1.0258975,-1.7011397,0.0,-6.8409805,9.644018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,-0.0,6.6919236,0.0,0.0,0.0,0.0,-1.9550285,-1.5259675,-3.0989275,0.0
7,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,5.621055,-3.9020495,0.0,0.0,0.0,-1.4240055
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9020495,5.8729343,-1.8808848,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,-1.9550285,0.0,0.0,0.0,-1.8808848,3.8709133,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,-1.5259675,0.0,0.0,0.0,0.0,0.0,4.075992,-2.4890246,0.0
13,0.0,0.0,0.0,0.0,0.0,-3.0989275,0.0,0.0,0.0,0.0,0.0,-2.4890246,6.8599467,-1.1369941
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4240055,0.0,0.0,0.0,-1.1369941,2.7099996
