time,V_bus1,V_bus2,V_bus3,V_bus4,V_bus5,V_bus6,V_bus7,V_bus8,V_bus9,V_bus10,V_bus11,V_bus12,V_bus13,V_bus14
0.0,1.06,1.04,1.01,1.0128530867824603,1.0164783826171186,1.0600000000000003,1.0437694467123848,1.08,1.026276583754838,1.0245320189664668,1.0383706815761857,1.0436186842712754,1.037227903788794,1.0126335687122185
0.01,1.0599999999745124,1.0399999999532383,1.0099999999481672,1.0128530866836885,1.0164783825279844,1.05999999988914,1.0437694465846563,1.079999999902908,1.0262765835952572,1.0245320188067657,1.0383706814408846,1.0436186841511432,1.03722790366013,1.0126335685463022
0.02,1.0599999999723728,1.039999999950417,1.0099999999448643,1.0128530866801437,1.0164783825245258,1.0599999998834706,1.0437694465797456,1.0799999998967538,1.026276583590445,1.0245320188018407,1.0383706814356137,1.0436186841456083,1.0372279036546765,1.0126335685413013
0.03,1.059999999970644,1.0399999999481215,1.0099999999421545,1.0128530866772425,1.0164783825216988,1.0599999998788083,1.0437694465756986,1.079999999891655,1.0262765835864853,1.0245320187977889,1.038370681431279,1.0436186841410566,1.0372279036501915,1.012633568537188
0.04,1.0599999999692677,1.0399999999462823,1.0099999999399634,1.012853086674902,1.0164783825194201,1.0599999998750227,1.0437694465724074,1.0799999998874843,1.0262765835832697,1.024532018794499,1.0383706814277593,1.0436186841373607,1.0372279036465504,1.0126335685338477
0.05,1.0599999999681295,1.0399999999447538,1.0099999999381277,1.0128530866729437,1.0164783825175152,1.0599999998718346,1.0437694465696332,1.0799999998839513,1.0262765835805634,1.02453201879173,1.0383706814247957,1.0436186841342483,1.0372279036434844,1.012633568531036
0.06,1.0599999999672107,1.0399999999435126,1.0099999999366218,1.0128530866713386,1.0164783825159547,1.0599999998691971,1.0437694465673375,1.0799999998810088,1.0262765835783272,1.0245320187894411,1.038370681422346,1.0436186841316732,1.037227903640948,1.0126335685287118
0.07,1.0599999999665057,1.0399999999425529,1.0099999999354412,1.0128530866700791,1.016478382514732,1.0599999998670973,1.0437694465655112,1.0799999998786478,1.0262765835765515,1.0245320187876232,1.0383706814203972,1.0436186841296233,1.0372279036389294,1.0126335685268641
0.08,1.0599999999659822,1.0399999999418321,1.0099999999345382,1.0128530866691134,1.0164783825137953,1.059999999865449,1.0437694465640825,1.0799999998767789,1.0262765835751653,1.0245320187862026,1.0383706814188713,1.043618684128015,1.0372279036373468,1.0126335685254186
0.09,1.0599999999656216,1.0399999999413265,1.0099999999338851,1.0128530866684102,1.0164783825131138,1.059999999864203,1.0437694465630076,1.0799999998753487,1.0262765835741257,1.0245320187851352,1.0383706814177212,1.0436186841267991,1.0372279036361514,1.0126335685243313
0.1,1.0599999999654048,1.0399999999410103,1.0099999999334544,1.0128530866679375,1.0164783825126567,1.0599999998633063,1.0437694465622434,1.0799999998743033,1.02627658357339,1.0245320187843783,1.0383706814168994,1.043618684125925,1.0372279036352927,1.0126335685235566
0.11,1.0599999999653151,1.0399999999408593,1.009999999933218,1.0128530866676635,1.0164783825123933,1.0599999998627054,1.0437694465617446,1.079999999873586,1.0262765835729126,1.0245320187838838,1.0383706814163556,1.04361868412534,1.0372279036347198,1.0126335685230465
0.12,1.0599999999653447,1.0399999999408625,1.0099999999331626,1.012853086667574,1.0164783825123094,1.0599999998623735,1.0437694465614886,1.0799999998731675,1.0262765835726713,1.024532018783629,1.0383706814160651,1.0436186841250188,1.0372279036344076,1.0126335685227792
0.13,1.0599999999654874,1.0399999999410092,1.0099999999332763,1.0128530866676555,1.0164783825123909,1.0599999998622889,1.043769446561454,1.0799999998730192,1.0262765835726466,1.0245320187835951,1.0383706814160072,1.0436186841249393,1.037227903634333,1.0126335685227346
0.14,1.0599999999657401,1.0399999999412937,1.0099999999335518,1.0128530866678973,1.0164783825126293,1.0599999998624348,1.0437694465616283,1.079999999873126,1.0262765835728263,1.0245320187837674,1.0383706814161664,1.0436186841250847,1.0372279036344807,1.0126335685228969
0.15,1.0599999999661,1.0399999999417122,1.0099999999339841,1.0128530866682948,1.0164783825130201,1.0599999998627974,1.0437694465620035,1.0799999998734775,1.0262765835731995,1.0245320187841365,1.0383706814165319,1.0436186841254431,1.0372279036348395,1.0126335685232568
0.16,1.0599999999665723,1.0399999999422673,1.0099999999345755,1.0128530866688534,1.0164783825135677,1.059999999863383,1.0437694465625806,1.0799999998740721,1.0262765835737693,1.0245320187847058,1.0383706814171079,1.0436186841260202,1.0372279036354148,1.0126335685238192
0.17,1.0599999999671574,1.0399999999429579,1.009999999935325,1.0128530866695689,1.016478382514268,1.059999999864189,1.0437694465633538,1.0799999998748997,1.0262765835745316,1.0245320187854714,1.0383706814178904,1.043618684126812,1.037227903636201,1.0126335685245804
0.18,1.0599999999678504,1.0399999999437788,1.0099999999362257,1.0128530866704322,1.016478382515113,1.0599999998652014,1.043769446564317,1.0799999998759584,1.0262765835754801,1.0245320187864229,1.038370681418869,1.0436186841278061,1.037227903637186,1.0126335685255268
0.19,1.059999999968652,1.0399999999447291,1.0099999999372764,1.0128530866714434,1.0164783825161043,1.059999999866416,1.0437694465654705,1.0799999998772463,1.026276583576611,1.0245320187875595,1.0383706814200397,1.0436186841289983,1.0372279036383685,1.0126335685266574
0.2,1.059999999969566,1.0399999999458112,1.009999999938479,1.012853086672609,1.0164783825172456,1.0599999998678395,1.0437694465668124,1.0799999998787582,1.0262765835779255,1.0245320187888842,1.0383706814214086,1.0436186841303958,1.0372279036397538,1.0126335685279795
0.21,1.0599999999705905,1.0399999999470209,1.0099999999398295,1.0128530866739218,1.01647838251853,1.0599999998694676,1.043769446568336,1.0799999998804857,1.0262765835794188,1.0245320187903912,1.0383706814229696,1.0436186841319932,1.0372279036413354,1.0126335685294863
